FECHA,DATO
09/30/2015,16.8985
10/01/2015,16.915001
10/02/2015,16.915001
10/05/2015,16.915001
10/06/2015,16.646
10/07/2015,16.630501
10/08/2015,16.630501
10/09/2015,16.4638
10/12/2015,16.4638
10/13/2015,16.627501
10/14/2015,16.478001
10/15/2015,16.383801
10/16/2015,16.379999
10/19/2015,16.491501
10/20/2015,16.5655
10/21/2015,16.5655
10/22/2015,16.4818
10/23/2015,16.4818
10/26/2015,16.5165
10/27/2015,16.5495
10/28/2015,16.6315
10/29/2015,16.630301
10/30/2015,16.5065
11/02/2015,16.5065
11/03/2015,16.4028
11/04/2015,16.5413
11/05/2015,16.6063
11/06/2015,16.813
11/09/2015,16.7703
11/10/2015,16.743799
11/11/2015,16.723301
11/12/2015,16.731001
11/13/2015,16.6938
11/16/2015,16.6938
11/17/2015,16.729799
11/18/2015,16.737301
11/19/2015,16.6185
11/20/2015,16.5473
11/23/2015,16.546499
11/24/2015,16.532499
11/25/2015,16.502001
11/26/2015,16.569
11/27/2015,16.6245
11/30/2015,16.568501
12/01/2015,16.526501
12/02/2015,16.5723
12/03/2015,16.7258
12/04/2015,16.673
12/07/2015,16.889799
12/08/2015,17.022499
12/09/2015,17.066999
12/10/2015,17.1978
12/11/2015,17.400299
12/14/2015,17.3265
12/15/2015,17.119301
12/16/2015,16.9723
12/17/2015,17.0653
12/18/2015,17.132999
12/21/2015,17.1758
12/22/2015,17.1938
12/23/2015,17.243799
12/24/2015,17.2465
12/25/2015,17.2465
12/28/2015,17.248301
12/29/2015,17.251801
12/30/2015,17.386
12/31/2015,17.216999
01/01/2016,17.216999
01/04/2016,17.342501
01/05/2016,17.3283
01/06/2016,17.539801
01/07/2016,17.820499
01/08/2016,17.942801
01/11/2016,17.893999
01/12/2016,17.8433
01/13/2016,17.950001
01/14/2016,17.908001
01/15/2016,18.2945
01/16/2016,18.2945
01/18/2016,18.219
01/19/2016,18.281799
01/20/2016,18.501499
01/21/2016,18.746
01/22/2016,18.469299
01/25/2016,18.612499
01/26/2016,18.4018
01/27/2016,18.462
01/28/2016,18.337799
01/29/2016,18.122801
02/01/2016,18.122801
02/02/2016,18.497499
02/03/2016,18.161301
02/04/2016,18.251499
02/05/2016,18.471001
02/08/2016,18.661301
02/09/2016,18.8078
02/10/2016,18.8985
02/11/2016,19.174801
02/12/2016,18.914
02/15/2016,18.818001
02/16/2016,18.893499
02/17/2016,18.3608
02/18/2016,18.293501
02/19/2016,18.204
02/22/2016,18.0648
02/23/2016,18.2003
02/24/2016,18.310301
02/25/2016,18.122801
02/26/2016,18.2773
02/29/2016,18.1285
03/01/2016,17.896999
03/02/2016,17.8403
03/03/2016,17.9335
03/04/2016,17.7743
03/07/2016,17.7418
03/08/2016,17.9233
03/09/2016,17.7465
03/10/2016,17.8398
03/11/2016,17.689501
03/12/2016,17.689501
03/14/2016,17.750299
03/15/2016,17.889999
03/16/2016,17.608
03/17/2016,17.608
03/18/2016,17.396299
03/21/2016,17.396299
03/22/2016,17.3463
03/23/2016,17.5895
03/24/2016,17.5895
